OID_,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
336,37,039,930300,2,370399303002,Block Group 2,G5030,S,207901880.000000000000000,9491541.000000000000000,+35.2234756,-084.1436599
976,37,039,930200,2,370399302002,Block Group 2,G5030,S,43248765.000000000000000,0.000000000000000,+35.1597897,-083.8756040
4201,37,075,920300,2,370759203002,Block Group 2,G5030,S,29893405.000000000000000,5167205.000000000000000,+35.3429480,-083.8544945
4202,37,075,920300,3,370759203003,Block Group 3,G5030,S,3954070.000000000000000,26005.000000000000000,+35.3100595,-083.8065955
4255,37,075,920300,4,370759203004,Block Group 4,G5030,S,39845891.000000000000000,11365.000000000000000,+35.2629661,-083.7515488
4256,37,075,920200,2,370759202002,Block Group 2,G5030,S,66004730.000000000000000,44982.000000000000000,+35.3117331,-083.7276987
4424,37,075,920300,1,370759203001,Block Group 1,G5030,S,229264769.000000000000000,383065.000000000000000,+35.2702395,-083.9567917
4425,37,075,920100,1,370759201001,Block Group 1,G5030,S,195905200.000000000000000,6617678.000000000000000,+35.3977736,-083.9505589
4426,37,075,920200,1,370759202001,Block Group 1,G5030,S,48835123.000000000000000,2413741.000000000000000,+35.3550864,-083.7850388
4742,37,075,920100,3,370759201003,Block Group 3,G5030,S,57432442.000000000000000,4967234.000000000000000,+35.4091755,-083.7179711
4751,37,039,930300,1,370399303001,Block Group 1,G5030,S,146987058.000000000000000,2643063.000000000000000,+35.1739594,-084.0585524
4757,37,075,920100,2,370759201002,Block Group 2,G5030,S,85053399.000000000000000,5426501.000000000000000,+35.3799758,-083.6419788
5285,37,039,930200,1,370399302001,Block Group 1,G5030,S,58329023.000000000000000,0.000000000000000,+35.2026286,-083.9119186
6204,37,043,950102,2,370439501022,Block Group 2,G5030,S,127219706.000000000000000,470924.000000000000000,+35.0677970,-083.6881631
6205,37,043,950101,1,370439501011,Block Group 1,G5030,S,17852117.000000000000000,3666991.000000000000000,+35.0326246,-083.7706893
6260,37,043,950101,2,370439501012,Block Group 2,G5030,S,123338885.000000000000000,7550496.000000000000000,+35.0158701,-083.6360317
6261,37,043,950102,1,370439501021,Block Group 1,G5030,S,156189548.000000000000000,182579.000000000000000,+35.1206915,-083.7653452
6262,37,043,950202,1,370439502021,Block Group 1,G5030,S,55316543.000000000000000,147637.000000000000000,+35.0235431,-083.9242740
6263,37,043,950201,2,370439502012,Block Group 2,G5030,S,30448129.000000000000000,2993987.000000000000000,+35.0044956,-083.8295947
6264,37,043,950201,1,370439502011,Block Group 1,G5030,S,20419092.000000000000000,5141.000000000000000,+35.0094324,-083.8927849
6265,37,043,950202,2,370439502022,Block Group 2,G5030,S,26020483.000000000000000,0.000000000000000,+35.0525942,-083.8494523
6553,37,039,930102,2,370399301022,Block Group 2,G5030,S,63460812.000000000000000,0.000000000000000,+35.2297913,-083.7975350
6554,37,039,930603,2,370399306032,Block Group 2,G5030,S,56003455.000000000000000,4269877.000000000000000,+35.1355171,-084.2377098
6555,37,039,930402,2,370399304022,Block Group 2,G5030,S,6649833.000000000000000,637310.000000000000000,+35.0971646,-084.0389216
6556,37,039,930402,1,370399304021,Block Group 1,G5030,S,40203351.000000000000000,0.000000000000000,+35.1461911,-083.9940898
6557,37,039,930603,1,370399306031,Block Group 1,G5030,S,68064022.000000000000000,9327892.000000000000000,+35.0870101,-084.1375952
6558,37,039,930401,3,370399304013,Block Group 3,G5030,S,27031081.000000000000000,148151.000000000000000,+35.0987472,-083.9857346
6559,37,039,930502,3,370399305023,Block Group 3,G5030,S,10378566.000000000000000,1467664.000000000000000,+35.0838880,-084.0583168
6560,37,039,930604,1,370399306041,Block Group 1,G5030,S,14743108.000000000000000,568660.000000000000000,+35.0296742,-084.0905528
6561,37,039,930502,2,370399305022,Block Group 2,G5030,S,22303440.000000000000000,0.000000000000000,+35.0028295,-084.0578186
6562,37,039,930101,2,370399301012,Block Group 2,G5030,S,1590537.000000000000000,0.000000000000000,+35.1970259,-083.8227895
6604,37,039,930501,2,370399305012,Block Group 2,G5030,S,16370853.000000000000000,115052.000000000000000,+35.0503987,-084.0031001
6605,37,039,930502,1,370399305021,Block Group 1,G5030,S,24011647.000000000000000,111053.000000000000000,+35.0467854,-084.0473370
6606,37,039,930102,1,370399301021,Block Group 1,G5030,S,61348047.000000000000000,0.000000000000000,+35.1859850,-083.7637496
6607,37,039,930101,3,370399301013,Block Group 3,G5030,S,3783891.000000000000000,0.000000000000000,+35.1993636,-083.8306299
6608,37,039,930101,1,370399301011,Block Group 1,G5030,S,6292853.000000000000000,0.000000000000000,+35.1818471,-083.8259035
6609,37,039,930501,1,370399305011,Block Group 1,G5030,S,31341958.000000000000000,0.000000000000000,+35.0221977,-084.0002176
6610,37,039,930401,2,370399304012,Block Group 2,G5030,S,25617183.000000000000000,0.000000000000000,+35.1159100,-083.9502614
6689,37,039,930606,1,370399306061,Block Group 1,G5030,S,49287755.000000000000000,873.000000000000000,+35.0373565,-084.2654650
6690,37,039,930401,1,370399304011,Block Group 1,G5030,S,41250396.000000000000000,20270.000000000000000,+35.1064081,-083.9220182
6695,37,039,930605,2,370399306052,Block Group 2,G5030,S,25603271.000000000000000,0.000000000000000,+35.0090341,-084.1652384
6696,37,039,930605,1,370399306051,Block Group 1,G5030,S,36313735.000000000000000,0.000000000000000,+35.0047064,-084.2570718
6697,37,039,930606,2,370399306062,Block Group 2,G5030,S,78754429.000000000000000,7645.000000000000000,+35.0809425,-084.2484182
6698,37,039,930604,2,370399306042,Block Group 2,G5030,S,12974664.000000000000000,4434.000000000000000,+34.9985957,-084.1194887
