County Name,Code
Adair,1
Alfalfa,3
Atoka,5
Beaver,7
Beckham,9
Blaine,11
Bryan,13
Caddo,15
Canadian,17
Carter,19
Cherokee,21
Choctaw,23
Cimarron,25
Cleveland,27
Coal,29
Comanche,31
Cotton,33
Craig,35
Creek,37
Custer,39
Delaware,41
Dewey,43
Ellis,45
Garfield,47
Garvin,49
Grady,51
Grant,53
Greer,55
Harmon,57
Harper,59
Haskell,61
Hughes,63
Jackson,65
Jefferson,67
Johnston,69
Kay,71
Kingfisher,73
Kiowa,75
Latimer,77
Le Flore,79
Lincoln,81
Logan,83
Love,85
McClain,87
McCurtain,89
McIntosh,91
Major,93
Marshall,95
Mayes,97
Murray,99
Muskogee,101
Noble,103
Nowata,105
Okfuskee,107
Oklahoma,109
Okmulgee,111
Osage,113
Ottawa,115
Pawnee,117
Payne,119
Pittsburg,121
Pontotoc,123
Pottawatomie,125
Pushmataha,127
Roger Mills,129
Rogers,131
Seminole,133
Sequoyah,135
Stephens,137
Texas,139
Tillman,141
Tulsa,143
Wagoner,145
Washington,147
Washita,149
Woods,151
Woodward,153
