OID_,ZCTA5CE20,GEOID20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20
3320,30559,30559,B5,G6350,S,130332794.000000000000000,589856.000000000000000,+34.9578604,-084.2743349
3544,30512,30512,B5,G6350,S,574625885.000000000000000,17538118.000000000000000,+34.8567531,-083.9679983
3588,30568,30568,B5,G6350,S,79186623.000000000000000,187665.000000000000000,+34.9548435,-083.4111113
3644,30525,30525,B5,G6350,S,512877461.000000000000000,2378711.000000000000000,+34.9072232,-083.3693465
3763,30560,30560,B5,G6350,S,184925732.000000000000000,6525647.000000000000000,+34.8767711,-084.2047057
4663,30546,30546,B5,G6350,S,337232757.000000000000000,12211160.000000000000000,+34.9084479,-083.7177672
4735,30582,30582,B5,G6350,S,134338330.000000000000000,1551603.000000000000000,+34.9564509,-083.9097895
5600,28771,28771,B5,G6350,S,670540979.000000000000000,14347930.000000000000000,+35.3429480,-083.8544945
5620,28719,28719,B5,G6350,S,1034682250.000000000000000,16612937.000000000000000,+35.5108912,-083.5202655
5702,28733,28733,B5,G6350,S,31912853.000000000000000,6108548.000000000000000,+35.4273966,-083.7769707
5717,28909,28909,B5,G6350,S,24659572.000000000000000,0.000000000000000,+35.0011378,-083.9032633
5878,28906,28906,B5,G6350,S,863418994.000000000000000,28813485.000000000000000,+35.0872445,-084.1366351
6173,28713,28713,B5,G6350,S,361508289.000000000000000,14838246.000000000000000,+35.3657002,-083.5116643
6191,28763,28763,B5,G6350,S,144094582.000000000000000,242547.000000000000000,+35.0287084,-083.4659325
6323,28904,28904,B5,G6350,S,482897645.000000000000000,14937393.000000000000000,+35.0686298,-083.7335934
6448,28905,28905,B5,G6350,S,117022031.000000000000000,0.000000000000000,+35.1630643,-083.9409356
6535,28901,28901,B5,G6350,S,180284366.000000000000000,0.000000000000000,+35.2012874,-083.8050739
6640,28781,28781,B5,G6350,S,185518671.000000000000000,6212321.000000000000000,+35.2240557,-083.6354791
33277,37385,37385,B5,G6350,S,692157848.000000000000000,1040291.000000000000000,+35.3367928,-084.2282863
33391,37882,37882,B5,G6350,S,476121707.000000000000000,2942534.000000000000000,+35.6044438,-083.8193906
33428,37317,37317,B5,G6350,S,194758753.000000000000000,4211024.000000000000000,+35.0310013,-084.4430558
33523,37885,37885,B5,G6350,S,375723772.000000000000000,38854677.000000000000000,+35.4988997,-084.1377028
33543,37391,37391,B5,G6350,S,66285849.000000000000000,647357.000000000000000,+35.0932347,-084.3539200
33545,37333,37333,B5,G6350,S,52212217.000000000000000,0.000000000000000,+35.1484136,-084.3597802
