OID_,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Length,Shape_Area,Area
1,12,39375,02405987,1239375,Lantana,Lantana town,43,C1,N,N,G4110,A,6127918.000000000000000,1564621.000000000000000,+26.5833601,-080.0553796,0.147994337327512,0.000696952725558,2.970090731714249
2,12,53800,02404459,1253800,Pahokee,Pahokee city,25,C1,N,N,G4110,A,13766034.000000000000000,0.000000000000000,+26.8202091,-080.6620494,0.241819019056915,0.001249760280759,5.315077551495680
3,12,76600,02405713,1276600,West Palm Beach,West Palm Beach city,25,C1,Y,N,G4110,A,139389655.000000000000000,10789183.000000000000000,+26.7451143,-080.1270377,0.927972047831477,0.013625476265091,57.984115993392628
4,12,60975,02404626,1260975,Riviera Beach,Riviera Beach city,25,C1,N,N,G4110,A,21441192.000000000000000,3565979.000000000000000,+26.7814238,-080.0760588,0.407270279865072,0.002269531886804,9.655284162312553
5,12,62100,02407540,1262100,Royal Palm Beach,Royal Palm Beach village,47,C1,N,N,G4110,A,29381909.000000000000000,908378.000000000000000,+26.6990145,-080.2275810,0.344340765329304,0.002747169894887,11.695098196423352
6,12,67175,02405487,1267175,South Bay,South Bay city,25,C1,N,N,G4110,A,7411275.000000000000000,2758427.000000000000000,+26.6883785,-080.7355258,0.217649799292869,0.000922117639540,3.926492044180047
7,12,71525,02407560,1271525,Tequesta,Tequesta village,47,C1,N,N,G4110,A,4744049.000000000000000,1096993.000000000000000,+26.9648718,-080.1132409,0.225799618105344,0.000530934977077,2.255232507449399
8,12,75812,02407568,1275812,Wellington,Wellington village,47,C1,N,N,G4110,A,116464126.000000000000000,1156033.000000000000000,+26.6489952,-080.2672083,0.591546345353645,0.010662263590409,45.413258516681857
9,12,35875,02405927,1235875,Jupiter,Jupiter town,43,C1,Y,N,G4110,A,56015268.000000000000000,3872986.000000000000000,+26.9185512,-080.1169400,0.805905248160145,0.005441696398289,23.122895801337648
10,12,08575,02405323,1208575,Briny Breezes,Briny Breezes town,43,C1,N,N,G4110,A,148152.000000000000000,126273.000000000000000,+26.5089022,-080.0522463,0.031901105842774,0.000024847227529,0.105954813068843
11,12,50950,02407033,1250950,Ocean Ridge,Ocean Ridge town,43,C1,N,N,G4110,A,1970361.000000000000000,2569586.000000000000000,+26.5309378,-080.0468143,0.096801304352238,0.000411143719996,1.752930936199602
12,12,54450,02407517,1254450,Palm Springs,Palm Springs village,47,C1,N,N,G4110,A,10899585.000000000000000,122901.000000000000000,+26.6358076,-080.0983517,0.397078602594215,0.000999089636684,4.255785790206176
13,12,02500,02403128,1202500,Atlantis,Atlantis city,25,C1,N,N,G4110,A,3528744.000000000000000,101987.000000000000000,+26.5972476,-080.1041003,0.078956695318647,0.000328985018507,1.401828643923525
14,12,07300,02403887,1207300,Boca Raton,Boca Raton city,25,C1,Y,N,G4110,A,75573116.000000000000000,6234129.000000000000000,+26.3726899,-080.1037110,0.483363097269049,0.007398665009451,31.585839406851669
15,12,17100,02404212,1217100,Delray Beach,Delray Beach city,25,C1,Y,N,G4110,A,41203848.000000000000000,1535920.000000000000000,+26.4559030,-080.0904197,0.400692711967460,0.003868041708144,16.501855484491799
16,12,26050,02406576,1226050,Glen Ridge,Glen Ridge town,43,C1,N,N,G4110,A,442668.000000000000000,54824.000000000000000,+26.6721302,-080.0766859,0.045908943861564,0.000045107449939,0.192082313624279
17,12,26550,02407467,1226550,Golf,Golf village,47,C1,N,N,G4110,A,2124563.000000000000000,27201.000000000000000,+26.5028597,-080.1057664,0.083133190434566,0.000194821582875,0.830800460569618
18,12,28275,02406627,1228275,Gulf Stream,Gulf Stream town,43,C1,N,N,G4110,A,2033113.000000000000000,286045.000000000000000,+26.4860078,-080.0574136,0.078738364316851,0.000209950208416,0.895429745994680
19,12,29200,02405804,1229200,Haverhill,Haverhill town,43,C1,N,N,G4110,A,1637297.000000000000000,0.000000000000000,+26.6909761,-080.1216826,0.062387333357610,0.000148477872705,0.632161355946462
20,12,33150,02405878,1233150,Hypoluxo,Hypoluxo town,43,C1,N,N,G4110,A,1469244.000000000000000,622482.000000000000000,+26.5672527,-080.0518122,0.068847082126035,0.000189480363957,0.807615641721335
21,12,35850,02405926,1235850,Juno Beach,Juno Beach town,43,C1,N,N,G4110,A,5282132.000000000000000,1765874.000000000000000,+26.8754568,-080.0596250,0.151826030731166,0.000640162168298,2.721228717607599
22,12,35900,02405928,1235900,Jupiter Inlet Colony,Jupiter Inlet Colony town,43,C1,N,N,G4110,A,401131.000000000000000,137855.000000000000000,+26.9479620,-080.0751742,0.030315037761194,0.000048985979093,0.208101075283315
23,12,37800,02405971,1237800,Lake Clarke Shores,Lake Clarke Shores town,43,C1,N,N,G4110,A,2389786.000000000000000,291325.000000000000000,+26.6456284,-080.0752755,0.086115391511033,0.000243042320743,1.035179008314709
24,12,38600,02405974,1238600,Lake Park,Lake Park town,43,C1,N,N,G4110,A,5399822.000000000000000,911237.000000000000000,+26.8000592,-080.0674596,0.124310747960524,0.000572853372467,2.436703824475817
25,12,39081,02404870,1239081,Lake Worth Beach,Lake Worth Beach city,25,C1,N,N,G4110,A,15262992.000000000000000,2382950.000000000000000,+26.6197202,-080.0587184,0.230979377691219,0.001599239149904,6.813113555686385
26,12,49600,02407513,1249600,North Palm Beach,North Palm Beach village,47,C1,N,N,G4110,A,8455740.000000000000000,5239817.000000000000000,+26.8202980,-080.0569054,0.211754290985310,0.001243376577627,5.287862751276999
27,12,67650,02407372,1267650,South Palm Beach,South Palm Beach town,43,C1,N,N,G4110,A,277975.000000000000000,447037.000000000000000,+26.5899402,-080.0380220,0.032603587380164,0.000065690497631,0.279927512015800
28,12,05200,02403837,1205200,Belle Glade,Belle Glade city,25,C1,N,N,G4110,A,18051813.000000000000000,148110.000000000000000,+26.6922151,-080.6655588,0.872091687261069,0.001650463410535,7.026999948337275
