OID_,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
988,12,099,000104,12099000104,1.04,Census Tract 1.04,G5020,S,2830420.000000000000000,597429.000000000000000,+26.9603084,-080.0964852
989,12,099,000222,12099000222,2.22,Census Tract 2.22,G5020,S,1350602.000000000000000,0.000000000000000,+26.9266717,-080.0979722
990,12,099,000223,12099000223,2.23,Census Tract 2.23,G5020,S,3326227.000000000000000,0.000000000000000,+26.9010500,-080.0988666
991,12,099,000219,12099000219,2.19,Census Tract 2.19,G5020,S,9527314.000000000000000,8890.000000000000000,+26.8638288,-080.1193743
1230,12,099,004904,12099004904,49.04,Census Tract 49.04,G5020,S,2701900.000000000000000,0.000000000000000,+26.6124419,-080.1035661
1231,12,099,005000,12099005000,50,Census Tract 50,G5020,S,5858991.000000000000000,1011486.000000000000000,+26.6020456,-080.0800624
1232,12,099,005102,12099005102,51.02,Census Tract 51.02,G5020,S,1945741.000000000000000,0.000000000000000,+26.6008553,-080.0632769
1233,12,099,005203,12099005203,52.03,Census Tract 52.03,G5020,S,812976.000000000000000,0.000000000000000,+26.6199192,-080.0558095
1234,12,099,005204,12099005204,52.04,Census Tract 52.04,G5020,S,1472997.000000000000000,15252.000000000000000,+26.6341525,-080.0555390
1235,12,099,005300,12099005300,53,Census Tract 53,G5020,S,2618942.000000000000000,2142008.000000000000000,+26.6197772,-080.0476254
1236,12,099,005501,12099005501,55.01,Census Tract 55.01,G5020,S,2120326.000000000000000,667060.000000000000000,+26.5874012,-080.0548427
1237,12,099,005502,12099005502,55.02,Census Tract 55.02,G5020,S,2844366.000000000000000,0.000000000000000,+26.5797074,-080.0614176
1238,12,099,005601,12099005601,56.01,Census Tract 56.01,G5020,S,1958257.000000000000000,0.000000000000000,+26.5649030,-080.0636830
1239,12,099,005807,12099005807,58.07,Census Tract 58.07,G5020,S,3148047.000000000000000,427986.000000000000000,+26.5800186,-080.0756250
1240,12,099,004815,12099004815,48.15,Census Tract 48.15,G5020,S,3403634.000000000000000,0.000000000000000,+26.6461213,-080.1509398
1241,12,099,004816,12099004816,48.16,Census Tract 48.16,G5020,S,2262954.000000000000000,0.000000000000000,+26.6286026,-080.1599765
1242,12,099,005602,12099005602,56.02,Census Tract 56.02,G5020,S,1250563.000000000000000,622482.000000000000000,+26.5672527,-080.0518122
1265,12,099,005916,12099005916,59.16,Census Tract 59.16,G5020,S,3155445.000000000000000,0.000000000000000,+26.5806357,-080.1218403
1266,12,099,005918,12099005918,59.18,Census Tract 59.18,G5020,S,5478751.000000000000000,0.000000000000000,+26.5647284,-080.1304212
1267,12,099,005921,12099005921,59.21,Census Tract 59.21,G5020,S,5427472.000000000000000,11922.000000000000000,+26.5467216,-080.1417033
1268,12,099,005933,12099005933,59.33,Census Tract 59.33,G5020,S,1170220.000000000000000,92918.000000000000000,+26.4597414,-080.1531823
1269,12,099,005934,12099005934,59.34,Census Tract 59.34,G5020,S,3442508.000000000000000,108280.000000000000000,+26.4631542,-080.1687566
1270,12,099,005936,12099005936,59.36,Census Tract 59.36,G5020,S,2068830.000000000000000,0.000000000000000,+26.4606891,-080.1335693
