OID_,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Length,Shape_Area
1,37,065,020400,37065020400,204,Census Tract 204,G5020,S,11626227.000000000000000,31574.000000000000000,+35.9538015,-077.7551539,0.178725788414113,0.001164597189683
2,37,065,020200,37065020200,202,Census Tract 202,G5020,S,23297865.000000000000000,26582.000000000000000,+35.9126355,-077.7834944,0.252838594054864,0.002328755348517
3,37,065,021300,37065021300,213,Census Tract 213,G5020,S,170959561.000000000000000,821259.000000000000000,+35.8719468,-077.6309106,1.062471680655407,0.017144716450368
4,37,065,021400,37065021400,214,Census Tract 214,G5020,S,109408206.000000000000000,230021.000000000000000,+35.8439293,-077.7234214,0.576988527766410,0.010938821212440
5,37,065,020600,37065020600,206,Census Tract 206,G5020,S,142764608.000000000000000,305585.000000000000000,+35.9942385,-077.6905098,0.926948261858386,0.014300254313748
6,37,065,020300,37065020300,203,Census Tract 203,G5020,S,10834148.000000000000000,0.000000000000000,+35.9361499,-077.7597316,0.180683060557299,0.001082070356481
7,37,127,011101,37127011101,111.01,Census Tract 111.01,G5020,S,41051775.000000000000000,91160.000000000000000,+35.9527077,-077.9279007,0.423473142025466,0.004110605814180
8,37,127,010601,37127010601,106.01,Census Tract 106.01,G5020,S,2642200.000000000000000,0.000000000000000,+35.9949318,-077.8134065,0.070384994307267,0.000264085551710
9,37,127,010504,37127010504,105.04,Census Tract 105.04,G5020,S,16455750.000000000000000,43221.000000000000000,+35.9459936,-077.8842488,0.210075659385834,0.001648006747779
10,37,127,010400,37127010400,104,Census Tract 104,G5020,S,4860675.000000000000000,57648.000000000000000,+35.9497092,-077.8048492,0.102455805705265,0.000491305217958
11,37,127,010505,37127010505,105.05,Census Tract 105.05,G5020,S,10682300.000000000000000,40085.000000000000000,+35.9754798,-077.8229887,0.145623273731674,0.001071425938647
12,37,127,010506,37127010506,105.06,Census Tract 105.06,G5020,S,5558045.000000000000000,21066.000000000000000,+35.9582763,-077.8379122,0.104472787282214,0.000557372623295
13,37,127,010604,37127010604,106.04,Census Tract 106.04,G5020,S,10574650.000000000000000,32156.000000000000000,+35.9834482,-077.7952809,0.149917710414814,0.001059978311491
14,37,127,011202,37127011202,112.02,Census Tract 112.02,G5020,S,56222183.000000000000000,2142738.000000000000000,+35.8715715,-077.9369301,0.423385418695085,0.005824338881099
15,37,127,010603,37127010603,106.03,Census Tract 106.03,G5020,S,7061720.000000000000000,0.000000000000000,+36.0099933,-077.7904850,0.141515814245694,0.000705943879002
16,37,127,011103,37127011103,111.03,Census Tract 111.03,G5020,S,19151583.000000000000000,33332.000000000000000,+35.9611161,-077.9605752,0.215935462586693,0.001916732948637
17,37,127,011104,37127011104,111.04,Census Tract 111.04,G5020,S,77107851.000000000000000,152915.000000000000000,+35.9596523,-078.0126394,0.514427155179090,0.007718508065808
18,37,127,010301,37127010301,103.01,Census Tract 103.01,G5020,S,4221863.000000000000000,0.000000000000000,+35.9342449,-077.8202038,0.104772430265862,0.000421651696280
19,37,127,010503,37127010503,105.03,Census Tract 105.03,G5020,S,14490960.000000000000000,0.000000000000000,+35.9867684,-077.8587536,0.152568922006073,0.001448209762249
20,37,127,010200,37127010200,102,Census Tract 102,G5020,S,11006777.000000000000000,0.000000000000000,+35.9092682,-077.8225507,0.163347223413278,0.001098945211270
21,37,127,011300,37127011300,113,Census Tract 113,G5020,S,141618151.000000000000000,437107.000000000000000,+35.8636870,-078.0300793,0.682417611673650,0.014175163506595
22,37,127,010802,37127010802,108.02,Census Tract 108.02,G5020,S,95741622.000000000000000,93669.000000000000000,+36.0461139,-077.8901787,0.516099218899649,0.009583822269678
23,37,127,011201,37127011201,112.01,Census Tract 112.01,G5020,S,34573760.000000000000000,850269.000000000000000,+35.8705796,-077.8661027,0.283923417800106,0.003535167556469
24,37,127,010700,37127010700,107,Census Tract 107,G5020,S,117546336.000000000000000,475395.000000000000000,+36.0824501,-077.7714139,0.599075618144526,0.011808470187946
25,37,195,001302,37195001302,13.02,Census Tract 13.02,G5020,S,75203513.000000000000000,439533.000000000000000,+35.8126338,-077.8061072,0.401131118182506,0.007543321588976
26,37,127,010302,37127010302,103.02,Census Tract 103.02,G5020,S,16206956.000000000000000,0.000000000000000,+35.9237780,-077.8503175,0.194428966154977,0.001618436077310
